t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
197.2,100,5945,29.24,1777,5486,57,35.5,74.3,2.29,0.17,13.46
198.2,100,5945,28.70,1777,5486,57,34.8,70.9,5.34,0.01,13.48
199.3,100,5945,28.71,1777,5486,56,33.7,80.6,3.4,0.06,13.45
200.4,98,5945,28.79,1777,5486,57,40.9,83.4,3.61,0.06,13.45
201.4,100,5945,29.08,1777,5486,56,37.0,76.0,2.15,0.46,13.43
202.5,99,5945,29.12,1777,5486,57,36.2,72.9,4.61,0.02,13.45
203.6,100,5945,30.13,1777,5486,56,34.7,76.5,4.6,0.27,13.46
204.6,100,5945,30.04,1777,5486,56,34.2,69.3,2.36,0.43,13.48
205.7,100,5945,29.78,1777,5486,56,34.6,77.9,2.75,0.34,13.49
206.8,98,5945,28.85,1777,5486,57,34.7,70.0,3.12,2.13,13.49
207.8,100,5945,29.22,1777,5486,56,37.4,84.4,2.61,1.16,13.48
208.9,100,5945,29.07,1777,5486,57,30.7,80.1,2.84,5.87,13.48
210.0,100,5945,28.61,1777,5486,57,34.8,83.3,2.37,0.33,13.47
211.0,100,5945,28.75,1777,5486,56,39.0,90.0,3.39,0.4,13.47
212.1,100,5945,29.56,1777,5486,56,34.0,72.6,2.31,1.05,13.48
213.1,100,5945,30.74,1777,5486,56,40.4,90.3,3.71,1.18,13.5
214.2,99,5945,29.42,1777,5486,56,35.8,71.1,3.29,5.55,13.5
215.3,100,5945,29.08,1777,5486,57,41.6,78.9,3.98,0.51,13.47
216.3,100,5945,28.76,1777,5486,57,62.8,73.7,28.88,30.66,13.48
217.4,99,5945,22.43,1777,5486,57,55.7,74.2,8.36,29.21,13.46
218.5,98,5945,32.54,1777,5486,57,49.9,83.9,79.42,20.95,13.49
219.6,100,5945,35.21,1777,5486,57,41.5,83.2,3.65,5.12,13.49
220.6,100,5945,24.48,1777,5486,57,37.3,80.0,5.75,2.3,13.48
221.7,100,5945,22.59,1777,5486,56,30.0,71.7,5.58,3.0,13.48
222.8,100,5945,30.67,1777,5486,57,40.1,89.2,3.28,1.36,13.52
223.8,99,5945,29.83,1777,5486,57,32.7,75.0,3.88,1.4,13.54
224.9,100,5945,30.07,1777,5486,56,30.0,70.8,4.04,1.97,13.56
226.0,99,5945,29.72,1777,5486,56,28.5,72.7,3.33,1.71,13.57
227.1,100,5945,29.13,1777,5486,57,41.6,77.1,2.85,1.16,13.63
228.1,100,5945,33.35,1777,5486,57,34.4,80.0,3.52,2.63,13.62
229.2,100,5945,28.18,1777,5486,56,37.3,79.7,2.93,2.08,13.58
230.3,100,5945,29.28,1777,5486,56,38.6,73.3,3.82,12.5,13.57
231.3,100,5945,30.11,1777,5486,56,33.3,79.9,2.51,0.94,13.55
232.4,100,5945,28.67,1777,5486,57,33.7,66.7,4.23,0.0,13.56
233.5,100,5945,30.69,1777,5486,56,37.2,73.3,2.22,0.18,13.6
234.5,100,5945,29.63,1777,5486,57,35.6,72.2,1.27,0.14,13.57
235.6,100,5945,30.34,1777,5486,57,34.4,73.9,1.48,0.43,13.57
236.7,100,5945,28.46,1777,5486,57,33.0,72.4,1.88,0.0,13.58
237.7,100,5945,28.65,1777,5486,57,32.1,82.4,2.7,0.01,13.58
238.8,99,5945,29.30,1777,5486,56,33.8,84.8,3.52,0.05,13.54
239.9,98,5945,28.37,1777,5486,57,35.5,77.4,4.33,0.1,13.52
240.9,100,5945,29.21,1777,5486,57,34.6,75.6,2.32,0.29,13.55
242.0,100,5945,30.05,1777,5486,56,32.2,71.0,3.45,0.0,13.55
243.0,100,5945,30.58,1777,5486,56,35.4,78.5,2.42,0.14,13.56
244.1,100,5945,29.85,1777,5486,56,35.6,67.8,2.67,0.77,13.51
245.2,99,5945,29.86,1777,5486,57,36.3,78.2,3.78,0.36,13.55
246.2,98,5945,28.66,1777,5486,57,30.1,70.2,2.74,0.36,13.55
247.3,100,5945,28.61,1777,5486,57,33.2,84.4,1.82,0.07,13.54
248.4,100,5945,29.11,1777,5486,58,31.0,90.5,2.6,0.09,13.55
249.4,100,5945,28.70,1777,5486,57,38.0,76.2,2.35,0.31,13.53
